"ident","type","name","elevation_ft","continent","iso_country","iso_region","municipality","icao_code","iata_code","gps_code","local_code","coordinates"
"TFFA","small_airport","La Désirade Airport","10","NA","GP","GP-U-A","Grande Anse","TFFA","DSD","TFFA","","16.296902, -61.0844"
"RJCK","medium_airport","Kushiro Airport","327","AS","JP","JP-01","Kushiro","RJCK","KUH","RJCK","","43.041, 144.192993"
"LTAT","medium_airport","Malatya Erhaç Airport","2828","AS","TR","TR-44","Malatya","LTAT","MLX","LTAT","","38.435298919699996, 38.0909996033"
"K3S8","small_airport","Grants Pass Airport","1126","NA","US","US-OR","Grants Pass","","GTP","","3S8","42.510101, -123.388"
"CYOS","medium_airport","Owen Sound / Billy Bishop Regional Airport","1007","NA","CA","CA-ON","Owen Sound","CYOS","YOS","CYOS","","44.5903015137, -80.8375015259"
"VEGT","large_airport","Lokpriya Gopinath Bordoloi International Airport","162","AS","IN","IN-AS","Guwahati","VEGT","GAU","VEGT","","26.106654, 91.585226"
"RU-10050","small_airport","Klokovo Air Base","499","EU","RU","RU-TUL","Tula","","TYA","","XUBT","54.239, 37.6"
"OMAA","large_airport","Zayed International Airport","88","AS","AE","AE-AZ","Abu Dhabi","OMAA","AUH","OMAA","","24.440966, 54.649237"
"FZCA","medium_airport","Kikwit Airport","1572","AF","CD","CD-KL","Kikwit","FZCA","KKW","FZCA","","-5.03577, 18.785601"
"KHKS","small_airport","Hawkins Field","341","NA","US","US-MS","Jackson","KHKS","HKS","KHKS","HKS","32.33449936, -90.22219849"
"VNMA","small_airport","Manang Airport","11001","AS","NP","NP-P4","Ngawal","VNMA","NGX","VNMA","","28.641399, 84.089203"
"SVTC","medium_airport","Tucupita Airport","16","SA","VE","VE-Y","Tucupita","SVTC","TUV","SVTC","","9.088994, -62.094173"
"SKSV","medium_airport","Eduardo Falla Solano Airport","920","SA","CO","CO-CAQ","San Vicente Del Caguán","SKSV","SVI","SKSV","SVI","2.15217, -74.7663"
"FZIR","small_airport","Yangambi Airport","1378","AF","CD","CD-TO","Yangambi","FZIR","YAN","FZIR","","0.783, 24.466999"
"VARK","medium_airport","Rajkot Airport","441","AS","IN","IN-GJ","Rajkot","VARK","RAJ","VARK","","22.3092, 70.779503"
"FOGI","small_airport","Moabi Airport","787","AF","GA","GA-5","Moabi","FOGI","MGX","FOGI","","-2.455187, 10.9358"
"UERP","medium_airport","Polyarny Airport","1660","AS","RU","RU-SA","Yakutia","UERP","PYJ","UERP","","66.400398, 112.029999"
"WSSL","medium_airport","Seletar Airport","36","AS","SG","SG-02","Seletar","WSSL","XSP","WSSL","","1.41555, 103.86673"
"EGSH","medium_airport","Norwich Airport","117","EU","GB","GB-ENG","Norwich, Norfolk","EGSH","NWI","EGSH","","52.6758, 1.28278"
"ESSW","small_airport","Västervik Airport","118","EU","SE","SE-H","Västervik","ESSW","VVK","ESSW","","57.779999, 16.5236"
